firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Robin,Williams,Dead Poets Society,1989,62nd,Best Actor in a Leading Role,no
Jeremy,Irons,Reversal of Fortune,1990,63rd,Best Actor in a Leading Role,yes
Kevin,Costner,Dances with Wolves,1990,63rd,Best Actor in a Leading Role,no
Robert,De Niro,Awakenings,1990,63rd,Best Actor in a Leading Role,no
Gérard,Depardieu,Cyrano de Bergerac,1990,63rd,Best Actor in a Leading Role,no
Richard,Harris,The Field,1990,63rd,Best Actor in a Leading Role,no
Anthony,Hopkins,The Silence of the Lambs,1991,64th,Best Actor in a Leading Role,yes
Warren,Beatty,Bugsy,1991,64th,Best Actor in a Leading Role,no
Robert,De Niro,Cape Fear,1991,64th,Best Actor in a Leading Role,no
Nick,Nolte,The Prince of Tides,1991,64th,Best Actor in a Leading Role,no
Robin,Williams,The Fisher King,1991,64th,Best Actor in a Leading Role,no
Al,Pacino,Scent of a Woman,1992,65th,Best Actor in a Leading Role,yes
Robert,Downey Jr.,Chaplin,1992,65th,Best Actor in a Leading Role,no
Clint,Eastwood,Unforgiven,1992,65th,Best Actor in a Leading Role,no
Stephen,Rea,The Crying Game,1992,65th,Best Actor in a Leading Role,no
Denzel,Washington,Malcolm X,1992,65th,Best Actor in a Leading Role,no
Tom,Hanks,Philadelphia,1993,66th,Best Actor in a Leading Role,yes
Daniel,Day-Lewis,In the Name of the Father,1993,66th,Best Actor in a Leading Role,no
Laurence,Fishburne,What's Love Got to Do with It,1993,66th,Best Actor in a Leading Role,no
Anthony,Hopkins,The Remains of the Day,1993,66th,Best Actor in a Leading Role,no
Liam,Neeson,Schindler's List,1993,66th,Best Actor in a Leading Role,no
Tom,Hanks,Forrest Gump,1994,67th,Best Actor in a Leading Role,yes
Morgan,Freeman,The Shawshank Redemption,1994,67th,Best Actor in a Leading Role,no
Nigel,Hawthorne,The Madness of King George,1994,67th,Best Actor in a Leading Role,no
Paul,Newman,Nobody's Fool,1994,67th,Best Actor in a Leading Role,no
John,Travolta,Pulp Fiction,1994,67th,Best Actor in a Leading Role,no
Nicolas,Cage,Leaving Las Vegas,1995,68th,Best Actor in a Leading Role,yes
Richard,Dreyfuss,Mr. Holland's Opus,1995,68th,Best Actor in a Leading Role,no
Anthony,Hopkins,Nixon,1995,68th,Best Actor in a Leading Role,no
