firstName,lastName,movieTitle,releaseYear,categoryName,iteration,winner
Alexander,Nanau,Collective,2020,Best International Feature Film,93rd,no
Kaouther,Ben Hania,The Man Who Sold His Skin,2020,Best International Feature Film,93rd,no
Jasmila,Žbanić,"Quo Vadis, Aida?",2020,Best International Feature Film,93rd,no
Ryusuke,Hamaguchi,Drive My Car,2021,Best International Feature Film,94th,yes
Jonas,Poher Rasmussen,Flee,2021,Best International Feature Film,94th,no
Paolo,Sorrentino,The Hand of God,2021,Best International Feature Film,94th,no
Pawo,Choyning Dorji,Lunana: A Yak in the Classroom,2021,Best International Feature Film,94th,no
Joachim,Trier,The Worst Person in the World,2021,Best International Feature Film,94th,no
Edward,Berger,All Quiet on the Western Front,2022,Best International Feature Film,95th,yes
Santiago,Mitre,"Argentina, 1985",2022,Best International Feature Film,95th,no
Lukas,Dhont,Close,2022,Best International Feature Film,95th,no
Jerzy,Skolimowski,EO,2022,Best International Feature Film,95th,no
Colm,Bairéad,The Quiet Girl,2022,Best International Feature Film,95th,no
Jonathan,Glazer,The Zone of Interest,2023,Best International Feature Film,96th,yes
Matteo,Garrone,Io Capitano,2023,Best International Feature Film,96th,no
Wim,Wenders,Perfect Days,2023,Best International Feature Film,96th,no
J.A.,Bayona,Society of the Snow,2023,Best International Feature Film,96th,no
İlker,Çatak,The Teachers' Lounge,2023,Best International Feature Film,96th,no
Walter,Salles,I'm Still Here,2024,Best International Feature Film,97th,yes
Jacques,Audiard,Emilia Pérez,2024,Best International Feature Film,97th,no
Gints,Zilbalodis,Flow,2024,Best International Feature Film,97th,no
Magnus,von Horn,The Girl with the Needle,2024,Best International Feature Film,97th,no
Mohammad,Rasoulof,The Seed of the Sacred Fig,2024,Best International Feature Film,97th,no
