firstName,lastName,movieTitle,releaseYear
Keisha,Castle-Hughes,Whale Rider,2003
Diane,Keaton,Something's Gotta Give,2003
Samantha,Morton,In America,2003
Naomi,Watts,21 Grams,2003
Hilary,Swank,Million Dollar Baby,2004
Annette,Bening,Being Julia,2004
Catalina,Sandino Moreno,Maria Full of Grace,2004
Imelda,Staunton,Vera Drake,2004
Kate,Winslet,Eternal Sunshine of the Spotless Mind,2004
Reese,Witherspoon,Walk the Line,2005
Judi,Dench,Mrs Henderson Presents,2005
Felicity,Huffman,Transamerica,2005
Keira,Knightley,Pride & Prejudice,2005
Charlize,Theron,North Country,2005
Helen,Mirren,The Queen,2006
Penélope,Cruz,Volver,2006
Judi,Dench,Notes on a Scandal,2006
Meryl,Streep,The Devil Wears Prada,2006
Kate,Winslet,Little Children,2006
Marion,Cotillard,La Vie en Rose,2007
Cate,Blanchett,Elizabeth: The Golden Age,2007
Julie,Christie,Away from Her,2007
Laura,Linney,The Savages,2007
Elliot,Page,Juno,2007
Kate,Winslet,The Reader,2008
Anne,Hathaway,Rachel Getting Married,2008
Angelina,Jolie,Changeling,2008
Melissa,Leo,Frozen River,2008
Meryl,Streep,Doubt,2008
Sandra,Bullock,The Blind Side,2009
Helen,Mirren,The Last Station,2009
Carey,Mulligan,An Education,2009
Gabourey,Sidibe,Precious,2009
Meryl,Streep,Julie & Julia,2009
Natalie,Portman,Black Swan,2010
Annette,Bening,The Kids Are All Right,2010
Nicole,Kidman,Rabbit Hole,2010
Jennifer,Lawrence,Winter's Bone,2010
Michelle,Williams,Blue Valentine,2010
Meryl,Streep,The Iron Lady,2011
Glenn,Close,Albert Nobbs,2011
Viola,Davis,The Help,2011
Rooney,Mara,The Girl with the Dragon Tattoo,2011
Michelle,Williams,My Week with Marilyn,2011
Jennifer,Lawrence,Silver Linings Playbook,2012
Jessica,Chastain,Zero Dark Thirty,2012
Emmanuelle,Riva,Amour,2012
Quvenzhané,Wallis,Beasts of the Southern Wild,2012
Naomi,Watts,The Impossible,2012
Cate,Blanchett,Blue Jasmine,2013
Amy,Adams,American Hustle,2013
Sandra,Bullock,Gravity,2013
Judi,Dench,Philomena,2013
Meryl,Streep,August: Osage County,2013
Julianne,Moore,Still Alice,2014
Marion,Cotillard,"Two Days, One Night",2014
Felicity,Jones,The Theory of Everything,2014
Rosamund,Pike,Gone Girl,2014
Reese,Witherspoon,Wild,2014
Brie,Larson,Room,2015
Cate,Blanchett,Carol,2015
Jennifer,Lawrence,Joy,2015
Charlotte,Rampling,45 Years,2015
Saoirse,Ronan,Brooklyn,2015
Emma,Stone,La La Land,2016
Isabelle,Huppert,Elle,2016
Ruth,Negga,Loving,2016
Natalie,Portman,Jackie,2016
Meryl,Streep,Florence Foster Jenkins,2016
Frances,McDormand,"Three Billboards Outside Ebbing, Missouri",2017
Sally,Hawkins,The Shape of Water,2017
Margot,Robbie,"I, Tonya",2017
Saoirse,Ronan,Lady Bird,2017
