firstName,lastName,movieTitle,releaseYear
Lauren,Lazin,Tupac: Resurrection,2004
Kirby,Dick,Twist of Faith,2004
Eddie,Schmidt,Twist of Faith,2004
Luc,Jacquet,March of the Penguins,2005
Hubert,Sauper,Darwin's Nightmare,2005
Alex,Gibney,Enron: The Smartest Guys in the Room,2005
Jason,Kliot,Enron: The Smartest Guys in the Room,2005
Henry,Alex Rubin,Murderball,2005
Dana,Adam Shapiro,Murderball,2005
Marshall,Curry,Street Fight,2005
Davis,Guggenheim,An Inconvenient Truth,2006
Amy,Berg,Deliver Us from Evil,2006
Frank,Donner,Deliver Us from Evil,2006
James,Longley,Iraq in Fragments,2006
Heidi,Ewing,Jesus Camp,2006
Rachel,Grady,Jesus Camp,2006
Jocelyn,Glatzer,"My Country, My Country",2006
Laura,Poitras,"My Country, My Country",2006
Alex,Gibney,Taxi to the Dark Side,2007
Eva,Orner,Taxi to the Dark Side,2007
Charles,Ferguson,No End in Sight,2007
Audrey,Marrs,No End in Sight,2007
Richard,Robbins,Operation Homecoming: Writing the Wartime Experience,2007
Michael,Moore,Sicko,2007
Sean,Fine,War/Dance,2007
Andrea,Nix Fine,War/Dance,2007
Simon,Chinn,Man on Wire,2008
James,Marsh,Man on Wire,2008
Ellen,Kuras,The Betrayal (Nerakhoon),2008
Thavisouk,Phrasavath,The Betrayal (Nerakhoon),2008
Werner,Herzog,Encounters at the End of the World,2008
Henry,Kaiser,Encounters at the End of the World,2008
Scott,Hamilton Kennedy,The Garden,2008
Carl,Deal,Trouble the Water,2008
Tia,Lessin,Trouble the Water,2008
Louie,Psihoyos,The Cove,2009
Fisher,Stevens,The Cove,2009
Anders,Østergaard,Burma VJ,2009
Lise,Lense-Møller,Burma VJ,2009
Robert,Kenner,"Food, Inc.",2009
Elise,Pearlstein,"Food, Inc.",2009
Judith,Ehrlich,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,2009
Rebecca,Cammisa,Which Way Home,2009
Charles,Ferguson,Inside Job,2010
Audrey,Marrs,Inside Job,2010
Jaimie,D'Cruz,Exit Through the Gift Shop,2010
Josh,Fox,Gasland,2010
Trish,Adlesic,Gasland,2010
Tim,Hetherington,Restrepo,2010
Sebastian,Junger,Restrepo,2010
Lucy,Walker,Waste Land,2010
Angus,Aynsley,Waste Land,2010
T.,J. Martin,Undefeated,2011
Daniel,Lindsay,Undefeated,2011
Rich,Middlemas,Undefeated,2011
Danfung,Dennis,Hell and Back Again,2011
Mike,Lerner,Hell and Back Again,2011
Marshall,Curry,If a Tree Falls: A Story of the Earth Liberation Front,2011
Sam,Cullman,If a Tree Falls: A Story of the Earth Liberation Front,2011
Wim,Wenders,Pina,2011
Gian-Piero,Ringel,Pina,2011
Malik,Bendjelloul,Searching for Sugar Man,2012
Simon,Chinn,Searching for Sugar Man,2012
Emad,Burnat,5 Broken Cameras,2012
Guy,Davidi,5 Broken Cameras,2012
Dror,Moreh,The Gatekeepers,2012
Philippa,Kowarsky,The Gatekeepers,2012
Estelle,Fialon,The Gatekeepers,2012
David,France,How to Survive a Plague,2012
Howard,Gertler,How to Survive a Plague,2012
Kirby,Dick,The Invisible War,2012
Amy,Ziering,The Invisible War,2012
Morgan,Neville,20 Feet from Stardom,2013
Gil,Friesen,20 Feet from Stardom,2013
Caitrin,Rogers,20 Feet from Stardom,2013
Joshua,Oppenheimer,The Act of Killing,2013
Signe,Byrge Sørensen,The Act of Killing,2013
Zachary,Heinzerling,Cutie and the Boxer,2013
Lydia,Dean Pilcher,Cutie and the Boxer,2013
Richard,Rowley,Dirty Wars,2013
Jeremy,Scahill,Dirty Wars,2013
Jehane,Noujaim,The Square,2013
Karim,Amer,The Square,2013
Laura,Poitras,Citizenfour,2014
Mathilde,Bonnefoy,Citizenfour,2014
Dirk,Wilutzky,Citizenfour,2014
John,Maloof,Finding Vivian Maier,2014
Charlie,Siskel,Finding Vivian Maier,2014
Rory,Kennedy,Last Days in Vietnam,2014
Wim,Wenders,The Salt of the Earth,2014
Juliano,Ribeiro Salgado,The Salt of the Earth,2014
David,Rosier,The Salt of the Earth,2014
Orlando,von Einsiedel,Virunga,2014
Joanna,Natasegara,Virunga,2014
Asif,Kapadia,Amy,2015
James,Gay-Rees,Amy,2015
Matthew,Heineman,Cartel Land,2015
Tom,Yellin,Cartel Land,2015
Joshua,Oppenheimer,The Look of Silence,2015
Signe,Byrge Sørensen,The Look of Silence,2015
Liz,Garbus,"What Happened, Miss Simone?",2015
Amy,Hobby,"What Happened, Miss Simone?",2015
Justin,Wilkes,"What Happened, Miss Simone?",2015
Evgeny,Afineevsky,Winter on Fire: Ukraine's Fight for Freedom,2015
Den,Tolmor,Winter on Fire: Ukraine's Fight for Freedom,2015
Ezra,Edelman,O.J.: Made in America,2016
Caroline,Waterlow,O.J.: Made in America,2016
Gianfranco,Rosi,Fire at Sea,2016
Donatella,Palermo,Fire at Sea,2016
Raoul,Peck,I Am Not Your Negro,2016
Rémi,Grellety,I Am Not Your Negro,2016
Hébert,Peck,I Am Not Your Negro,2016
Roger,Ross Williams,"Life, Animated",2016
Julie,Goldman,"Life, Animated",2016
Ava,DuVernay,13th,2016
Spencer,Averick,13th,2016
Howard,Barish,13th,2016
Bryan,Fogel,Icarus,2017
Dan,Cogan,Icarus,2017
Steve,James,Abacus: Small Enough to Jail,2017
Mark,Mitten,Abacus: Small Enough to Jail,2017
Julie,Goldman,Abacus: Small Enough to Jail,2017
Agnès,Varda,Faces Places,2017
Rosalie,Varda,Faces Places,2017
Feras,Fayyad,Last Men in Aleppo,2017
Kareem,Abeed,Last Men in Aleppo,2017
Søren,Steen Jespersen,Last Men in Aleppo,2017
Yance,Ford,Strong Island,2017
Joslyn,Barnes,Strong Island,2017
Elizabeth,Chai Vasarhelyi,Free Solo,2018
Jimmy,Chin,Free Solo,2018
Shannon,Dill,Free Solo,2018
RaMell,Ross,"Hale County This Morning, This Evening",2018
Joslyn,Barnes,"Hale County This Morning, This Evening",2018
Bing,Liu,Minding the Gap,2018
Diane,Quon,Minding the Gap,2018
Talal,Derki,Of Fathers and Sons,2018
Ansgar,Frerich,Of Fathers and Sons,2018
Eva,Kemme,Of Fathers and Sons,2018
Tobias,N. Siebert,Of Fathers and Sons,2018
Betsy,West,RBG,2018
Julie,Cohen,RBG,2018
Steven,Bognar,American Factory,2019
Julia,Reichert,American Factory,2019
Feras,Fayyad,The Cave,2019
Kirstine,Barfod,The Cave,2019
Sigrid,Dyekjær,The Cave,2019
Petra,Costa,The Edge of Democracy,2019
Joanna,Natasegara,The Edge of Democracy,2019
Shane,Boris,The Edge of Democracy,2019
Tiago,Pavan,The Edge of Democracy,2019
Waad,al-Kateab,For Sama,2019
Edward,Watts,For Sama,2019
Ljubo,Stefanov,Honeyland,2019
Tamara,Kotevska,Honeyland,2019
Pippa,Ehrlich,My Octopus Teacher,2020
Craig,Foster,My Octopus Teacher,2020
Alexander,Nanau,Collective,2020
Bianca,Oana,Collective,2020
Nicole,Newnham,Crip Camp,2020
Jim,LeBrecht,Crip Camp,2020
Maite,Alberdi,The Mole Agent,2020
Marcela,Santibáñez,The Mole Agent,2020
Garrett,Bradley,Time,2020
Lauren,Domino,Time,2020
Joseph,Patel,Summer of Soul,2021
Robert,Fyvolent,Summer of Soul,2021
David,Dinerstein,Summer of Soul,2021
Jessica,Kingdon,Ascension,2021
Kira,Simon-Kennedy,Ascension,2021
Nathan,Truesdell,Ascension,2021
Stanley,Nelson,Attica,2021
Traci,A. Curry,Attica,2021
Jonas,Poher Rasmussen,Flee,2021
Monica,Hellström,Flee,2021
Signe,Byrge Sørensen,Flee,2021
Rintu,Thomas,Writing with Fire,2021
Sushmit,Ghosh,Writing with Fire,2021
Daniel,Roher,Navalny,2022
Odessa,Rae,Navalny,2022
Shaunak,Sen,All That Breathes,2022
Teddy,Leifer,All That Breathes,2022
Laura,Poitras,All the Beauty and the Bloodshed,2022
Nan,Goldin,All the Beauty and the Bloodshed,2022
Sara,Dosa,Fire of Love,2022
Ina,Fichman,Fire of Love,2022
Monica,Hellström,A House Made of Splinters,2022
Mstyslav,Chernov,20 Days in Mariupol,2023
Michelle,Mizner,20 Days in Mariupol,2023
Raney,Aronson-Rath,20 Days in Mariupol,2023
John,Battsek,Bobi Wine: The People's President,2023
Maite,Alberdi,The Eternal Memory,2023
Kaouther,Ben Hania,Four Daughters,2023
Nisha,Pahuja,To Kill a Tiger,2023
Basel,Adra,No Other Land,2024
Yuval,Abraham,No Other Land,2024
Shiori,Itō,Black Box Diaries,2024
Brendan,Bellomo,Porcelain War,2024
Slava,Leontyev,Porcelain War,2024
Johan,Grimonprez,Soundtrack to a Coup d'Etat,2024
Julian,Brave NoiseCat,Sugarcane,2024
Emily,Kassie,Sugarcane,2024
